Insight ID,Title / Hook,Format,Channel,Status,Practical change (required),Knowledge Product,Spoke URL,Folder path,Created,Ready date,Published date,Owner,Approver,Link / URL live,Notes
WL-P-01,Phentermine — safety basics,Carousel,Instagram,Copy ready,Ask cardiac/BP screening questions before stimulant-like WL meds,Metabolic Health & Weight Loss,https://siya.health/blog/phentermine-for-weight-loss-safety-and-effectiveness,05-Carousels/WL-P-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
MH-T-01,When is TRT appropriate?,Carousel,Instagram,Copy ready,Morning labs + symptoms; don’t start TRT for optimization alone,Men's Health & Longevity,https://siya.health/blog/when-is-testosterone-therapy-appropriate,05-Carousels/MH-T-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
ED-S-01,Sildenafil — what to expect,Carousel,Instagram,Copy ready,Nitrate interaction check; timing expectations with clinician,Men's Health,https://siya.health/blog/sildenafil-for-erectile-dysfunction-what-to-expect,05-Carousels/ED-S-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
HL-M-01,Minoxidil — does it work?,Carousel,Instagram,Copy ready,Consistent use 3–6 months before judging; shed-phase education,Hair Health,https://siya.health/blog/minoxidil-for-hair-loss-does-it-work,05-Carousels/HL-M-01,2026-07-21,,,Editorial,Organic OK,,Batch 20
SL-I-01,Insomnia beyond medication,Carousel,Instagram,Copy ready,CBT-I / sleep-window experiment 7 days; know when to seek care,Sleep & Brain Health,https://siya.health/blog/insomnia-treatment-options-beyond-medication,05-Carousels/SL-I-01,2026-07-21,,,Editorial,Organic OK,,Batch 20
SL-A-01,Ambien risks — know before you take,Carousel,Instagram,Copy ready,Never mix with alcohol; discuss next-day impairment,Sleep & Brain Health,https://siya.health/blog/ambien-and-sleep-medications-risks-and-benefits,05-Carousels/SL-A-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
PC-T-01,How telehealth prescriptions work,Carousel,Instagram,Copy ready,Verify clinician license + visit type before paying,Primary Care & Access,https://siya.health/blog/telehealth-prescriptions-how-online-treatment-works,05-Carousels/PC-T-01,2026-07-21,,,Editorial,Organic OK,,Batch 20
PC-S-01,How to safely get prescriptions online,Carousel,Instagram,Copy ready,"Red-flag checklist: no exam, guaranteed controlled substances",Primary Care & Access,https://siya.health/blog/how-to-safely-get-prescriptions-online,05-Carousels/PC-S-01,2026-07-21,,,Editorial,Organic OK,,Batch 20
PE-G-01,Glutathione & peptides — what’s real,Carousel,Instagram,Copy ready,Ask evidence grade; avoid unverified peptide vendors; FDA curiosity without hype,Longevity · Evidence Literacy,https://siya.health/blog/glutathione-and-peptides-what-do-they-actually-do,05-Carousels/PE-G-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20; no miracle claims
AD-S-01,You're not lazy.,Carousel,Instagram,Ready,Take a validated ADHD screener — then talk to a clinician if the pattern is lifelong.,Batch pause-10,,05-Carousels/AD-S-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Awaiting human+performance feedback,,Pause-at-10 bank
AD-W-01,ADHD in women gets missed.,Carousel,Instagram,Ready,"If mood labels never quite fit, ask your clinician about lifelong ADHD history — don't self-diagnose BPD vs ADHD from social media.",Batch pause-10,,05-Carousels/AD-W-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Awaiting human+performance feedback,,Pause-at-10 bank
WL-G-01,Semaglutide isn't a willpower hack.,Carousel,Instagram,Ready,"Before starting, ask about contraindications — and plan protein + resistance training if prescribed a GLP-1.",Batch pause-10,,05-Carousels/WL-G-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Awaiting human+performance feedback,,Pause-at-10 bank
WL-S-01,GLP-1 side effects are common.,Carousel,Instagram,Ready,"Start with smaller meals and slower eating; call your clinician for severe vomiting, dehydration, or pain that worries you.",Batch pause-10,,05-Carousels/WL-S-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Awaiting human+performance feedback,,Pause-at-10 bank
PC-T-01,Online Rx isn't a vending machine.,Carousel,Instagram,Ready,"Before you pay: verify a licensed clinician, a real visit, and follow-up — not a quiz that guarantees a controlled substance.",Batch pause-10,,05-Carousels/PC-T-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Awaiting human+performance feedback,,Pause-at-10 bank
MH-T-01,TRT is medical care — not a lifestyle brand.,Carousel,Instagram,Ready,Ask for morning testosterone labs plus symptom review — don't start TRT for “optimization” alone.,Batch pause-10,,05-Carousels/MH-T-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Awaiting human+performance feedback,,Pause-at-10 bank
SL-I-01,Pills can help. They aren't the only tool.,Carousel,Instagram,Ready,"Try a 7-day sleep window: same wake time daily, no clock-watching — then ask about CBT-I if nights stay stuck.",Batch pause-10,,05-Carousels/SL-I-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Awaiting human+performance feedback,,Pause-at-10 bank
ADHD-2026-08-24-cloud-lock-test,Time keeps slipping,Static,Instagram,Approved / Ready to post,If lifelong time-strain pattern: consider ADHD evaluation — not another productivity hack.,Adult ADHD,https://siya.health/adhd-care,editorial-packs/ADHD-2026-08-24-cloud-lock-test/ready-to-post,2026-08-24,2026-08-24,,Editorial / Cloud agent,Founder (slide 1 visual OK),,A-03 lean · slide 1 only · cloud lock test pack · captions + video-prompt Phase 3
