Old URL,New URL,Redirect Type,Reason,Internal Links Updated,Sitemap Updated
/blog/long-term-weight-loss-medications-what-to-expect,/blog/semaglutide-for-weight-loss-how-it-works,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/adderall-ir-vs-xr-adults,/blog/vyvanse-vs-adderall-differences,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/adhd-treatment-houston-online,/blog/online-adhd-diagnosis-texas,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/adhd-medication-online-texas-telehealth,/blog/online-adhd-diagnosis-texas,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/terms-of-service,/legal/terms-of-use,301,legal consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/notice-of-privacy-practices,/legal/notice-of-privacy-practices,301,legal consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/blank,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/book,/book-appointment,301,short alias,yes (phase7 link remediation validates),yes (sources excluded)
/discovery-call,/redirect/adhd-walkthrough,302/307,temporary campaign alias,yes (phase7 link remediation validates),yes (sources excluded)
/meet-and-greet,/redirect/adhd-walkthrough,302/307,temporary campaign alias,yes (phase7 link remediation validates),yes (sources excluded)
/visual-components,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/public,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/public/:path*,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/docs,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/docs/:path*,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/data,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/data/:path*,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/design-system,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/design-system/:path*,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/(.*).mjs,/,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
/siya-circle,https://form.carepatron.com/Forms/XRMFIPAWuXhTlncGx,302/307,external newsletter form,yes (phase7 link remediation validates),yes (sources excluded)
/(.*),https://www.siya.health/$1,301,harden non-public paths,yes (phase7 link remediation validates),yes (sources excluded)
