Provider,Field,Priority,QuestionToAsk,ExampleAnswer,Owner,Status
"Megan Wunderlich, FNP-C","reviewedContent","Nice to have","Please provide reviewedContent for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","authoredContent","Nice to have","Please provide authoredContent for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","NPI","Nice to have","Please provide NPI for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","external profiles (sameAs)","Nice to have","Please provide external profiles (sameAs) for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","license type per state","Required before adding provider #4","Please provide license type per state for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","license verification source","Required before publishing","Please provide license verification source for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","accepting patients per state","Required before adding provider #4","Please provide accepting patients per state for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","medical school","Required before adding provider #4","Please provide medical school for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","residency","Required before publishing","Please provide residency for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","fellowship","Nice to have","Please provide fellowship for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","professional memberships","Nice to have","Please provide professional memberships for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","reviewedContent","Nice to have","Please provide reviewedContent for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","authoredContent","Nice to have","Please provide authoredContent for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","NPI","Nice to have","Please provide NPI for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Derek Timbs, FNP-BC","external profiles (sameAs)","Nice to have","Please provide external profiles (sameAs) for Derek Timbs, FNP-BC.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","license type per state","Required before adding provider #4","Please provide license type per state for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","license verification source","Required before adding provider #4","Please provide license verification source for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","accepting patients per state","Required before adding provider #4","Please provide accepting patients per state for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","medical school","Required before adding provider #4","Please provide medical school for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","residency","Required before publishing","Please provide residency for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","fellowship","Nice to have","Please provide fellowship for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","professional memberships","Nice to have","Please provide professional memberships for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","reviewedContent","Nice to have","Please provide reviewedContent for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","authoredContent","Nice to have","Please provide authoredContent for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","NPI","Nice to have","Please provide NPI for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
"Wendy Delgado, PA-C","external profiles (sameAs)","Nice to have","Please provide external profiles (sameAs) for Wendy Delgado, PA-C.","","Provider/Admin","Missing"
