Image File,Used On,Purpose,Quality,Style Consistency,Alt Text,Replace,Optimize,Notes
assets/images/siya-health-logo-registered.png,index.html; mens-health-longevity.html; redirect/meet-greet/index.html; womens-health.html,content,ok,review,yes,review,yes,
assets/images/siya-health-logo.png,providers/derek-timbs.html; providers/dr-natasha-desai.html; providers/dr-sneh-pandey.html; providers/dr-swati-pandey.html; providers/dr-vanessa-urbina.html (+6 more),content,ok,review,yes,review,no,
assets/images/telehealth-visit.png,book-appointment.html; labs.html; prescriptions.html; pricing.html; privacy-policy.html (+1 more),content,ok,legacy/stock,n/a,yes (when editorial available),no,
assets/images/telehealth-workspace.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/trust-reviews-new.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1604KB — compress/convert to webp
assets/images/trust-reviews-v2.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1510KB — compress/convert to webp
assets/images/weight-loss-new.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1575KB — compress/convert to webp
assets/images/weight-loss-v2.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1497KB — compress/convert to webp
assets/images/weight-loss.jpg,NONE,content,large-uncompressed,review,n/a,review,yes,UNUSED on any public page; 1595KB — compress/convert to webp
assets/images/weight-loss.svg,NONE,icon,small,icon/diagram,n/a,no,no,UNUSED on any public page
assets/images/weightloss-health.png,NONE,content,ok,do-not-reuse,n/a,quarantine,no,UNUSED on any public page; flagged do-not-use in photography inventory
assets/images/weightloss-hero.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/wendy-delgado.png,about.html; providers/index.html; providers/wendy-delgado.html; weight-loss-metabolic-health.html,content,ok,review,yes,review,no,
